"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
313953,"마이 블랙 미니드레스","허인무","씨제이이앤엠(주)",2011-03-24,"드라마","15세이상관람가","상업영화","일반영화","108분 0초","윤은혜","박한별","차예련",13,26,4669,3,"윤은혜,박한별,차예련",20636,313953,-0.376614072686009,369962.5,-0.341265271154561,182233.5,-0.45974508551993,1,313953,-0.415694652906109
306119,"개를 훔치는 완벽한 방법","김성호","(주)리틀빅픽쳐스,(주)대명문화공장",2014-12-31,"드라마","전체관람가","다양성영화","예술영화","109분 31초","김혜자","이레","최민수",34,83,15910,12,"김혜자,이레,최민수",26982,161566.5,-0.472788474253099,1484644.5,0.362234542067788,306119,-0.381558278779571,0,306119,-0.419575788608484
288016,"혼숨","이두환","(주)프레인글로벌",2016-10-26,"공포(호러)","15세이상관람가","상업영화","일반영화","88분 21초","류덕환","조복래","이수빈",3,7,1450,10,"류덕환,조복래,이수빈",32837,104723,-0.508663631143499,165919.5,-0.470041202217705,288016,-0.392983471900805,0,288016,-0.428544412506887
283449,"네버엔딩 스토리","정용주","(주)화앤담이엔티",2012-01-18,"코미디","15세이상관람가","상업영화","일반영화","114분 0초","엄태웅","정려원","유선",17,31,7620,1,"엄태웅,정려원,유선",20049,525619.666666667,-0.243026681425185,263271.5,-0.408600258686885,688740.4,-0.140077674055646,0,283449,-0.430807004637695
283300,"다이노 타임","최윤석,존 카프카","씨제이이앤엠(주)",2015-04-30,"애니메이션","전체관람가","상업영화","일반영화","85분 35초","멜라니 그리피스","제인 린치","윌리엄 볼드윈",2,5,1127,4,"멜라니 그리피스,제인 린치,윌리엄 볼드윈",2578,283300,-0.395959841052865,283300,-0.395959841052865,283300,-0.395959841052865,1,283300,-0.430880822511023
278914,"극장판 안녕 자두야","손석우","씨제이이앤엠(주)",2016-05-04,"애니메이션","전체관람가","상업영화","일반영화","75분 37초","여민정","양정화","이수진",4,6,1079,5,"여민정,양정화,이수진",9112,278914,-0.398727940098865,79176.5,-0.524786577399458,278914,-0.398727940098865,1,278914,-0.433053743265506
270602,"가비","장윤현","(주)시네마서비스",2012-03-15,"드라마","15세이상관람가","상업영화","일반영화","115분 0초","주진모","김소연","박희순",9,32,6637,3,"주진모,김소연,박희순",23878,1621038.5,0.448315732510129,270602,-0.403973822285448,1197235.625,0.180844612131766,0,270602,-0.437171690668894
270148,"롤러코스터","하정우","씨제이이앤엠(주)",2013-10-17,"코미디","15세이상관람가","상업영화","일반영화","93분 10초","정경호","한성천","김재화",10,17,4092,10,"정경호,한성천,김재화",27564,270148,-0.404260351461664,270148,-0.404260351461664,270148,-0.404260351461664,1,612661.5,-0.267707899784731
257716,"함정","권형진","(주)인벤트스톤",2015-09-10,"스릴러","청소년관람불가","상업영화","일반영화","96분 28초","마동석","조한선","김민경",13,43,9178,9,"마동석,조한선,김민경",32277,1761397,0.536899004272093,257716,-0.412106454366331,135205,-0.489425784558873,0,257716,-0.44355569815687
252475,"밤의 여왕","김제영","(주)인벤트스톤",2013-10-17,"멜로/로맨스","15세이상관람가","상업영화","일반영화","113분 7초","천정명","김민정","이동휘",13,26,6407,10,"천정명,김민정,이동휘",28595,357286,-0.349265683274173,706248,-0.129028250695466,860388,-0.0317471775193562,0,252475,-0.446152204694545
250650,"비밀은 없다","이경미","씨제이이앤엠(주)",2016-06-23,"스릴러","청소년관람불가","상업영화","일반영화","102분 0초","손예진","김주혁","신지훈",9,22,3067,6,"손예진,김주혁,신지훈",53485,3643391,1.72466594361944,1553476.8,0.405676088799201,250650,-0.416565959122153,1,250650,-0.447056349787324
248215,"소셜포비아","홍석재","CGV아트하우스",2015-03-12,"스릴러","15세이상관람가","다양성영화","예술영화","102분 20초","변요한","이주승","하윤경",17,46,4649,3,"변요한,이주승,하윤경",22056,848619.333333333,-0.0391746364734579,248215,-0.418102740056264,248215,-0.418102740056264,0,248215,-0.448262702280978
243094,"적과의 동침","박건용","(주)쇼박스",2011-04-27,"드라마","12세이상관람가","상업영화","일반영화","136분 0초","김주혁","유해진","정려원",31,60,12566,4,"김주혁,유해진,정려원",16115,1553476.8,0.405676088799201,3925144.28571429,1.90248650937253,263271.5,-0.408600258686885,1,243094,-0.450799758182416
238587,"미옥","이안규","씨네그루(주)키다리이엔티",2017-11-09,"범죄","청소년관람불가","상업영화","일반영화","90분 35초","김혜수","이선균","이희준",5,13,2623,11,"김혜수,이선균,이희준",50553,4200549,2.07630035498998,1416824.16666667,0.319431669290909,654011.5,-0.161995830680959,0,238587,-0.453032624995105
