y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
765259,레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,유니버설픽쳐스인터내셔널 코리아(유),2017-01-25,미국,액션,청소년관람불가,상업영화,일반영화,106분 26초,밀라 요보비치,알리 라터,이아인 글렌,1,1,401,1,71038
764072,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,롯데쇼핑㈜롯데엔터테인먼트,2017-03-29,미국,SF,15세이상관람가,상업영화,일반영화,106분 46초,스칼렛 요한슨,마이클 피트,마이클 윈코트,3,4,1183,3,114618
761404,리오 2,카를로스 살다나,이십세기폭스코리아(주),2014-05-01,미국,애니메이션,전체관람가,상업영화,일반영화,101분 6초,제시 아이젠버그,앤 해서웨이,레슬리 만,10,23,4309,5,45775
744387,"안녕, 헤이즐",조쉬 분,이십세기폭스코리아(주),2014-08-13,미국,드라마,12세이상관람가,상업영화,일반영화,125분 46초,쉐일린 우들리,안셀 엘고트,냇 울프,23,29,4877,8,29696
731551,런던 해즈 폴른,바박 나자피,메가박스중앙(주)플러스엠,2016-03-10,미국,액션,15세이상관람가,상업영화,일반영화,97분 15초,제라드 버틀러,아론 에크하트,모건 프리먼,3,4,768,3,36440
716386,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),2015-03-19,미국,멜로/로맨스,전체관람가,상업영화,일반영화,113분 9초,릴리 제임스,리처드 매든,케이트 블란쳇,40,43,8162,3,34177
709734,고질라,가렛 에드워즈,워너브러더스 코리아(주),2014-05-15,미국,액션,12세이상관람가,상업영화,일반영화,122분 56초,애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,1,1,303,5,89080
696412,트랜센던스,월리 피스터,롯데쇼핑㈜롯데엔터테인먼트,2014-05-14,미국,SF,12세이상관람가,상업영화,일반영화,119분 6초,조니 뎁,레베카 홀,모건 프리먼,4,6,1436,5,47918
689071,인페르노,론 하워드,유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,미국,미스터리,15세이상관람가,상업영화,일반영화,121분 27초,톰 행크스,펠리시티 존스,벤 포스터,19,32,5031,10,60052
681945,픽셀,크리스 콜럼버스,유니버설픽쳐스인터내셔널 코리아(유),2015-07-16,미국,액션,12세이상관람가,상업영화,일반영화,105분 42초,아담 샌들러,케빈 제임스,미셸 모나한,1,2,457,7,68692
680606,앵그리버드 더 무비,"퍼갈 레일리,클레이 케이티스",유니버설픽쳐스인터내셔널 코리아(유),2016-05-19,미국,애니메이션,전체관람가,상업영화,일반영화,97분 5초,NA,NA,NA,7,9,1517,5,10198
675966,트롤,"마이크 미첼,월트 도른",씨제이이앤엠(주),2017-02-16,미국,애니메이션,전체관람가,상업영화,일반영화,92분 19초,안나 켄드릭,저스틴 팀버레이크,주이 디샤넬,5,10,1978,2,29500
668576,패신저스,모튼 틸덤,유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,미국,어드벤처,12세이상관람가,상업영화,일반영화,116분 0초,크리스 프랫,제니퍼 로렌스,마이클 쉰,1,1,401,1,85044
654386,아이 엠 넘버 포,D.J. 카루소,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-24,미국,액션,12세이상관람가,상업영화,일반영화,103분 0초,티모시 올리펀트,알렉스 페티퍼,NA,2,3,540,2,45495
654212,엔더스 게임,개빈 후드,롯데쇼핑㈜롯데엔터테인먼트,2013-12-31,미국,SF,12세이상관람가,상업영화,일반영화,113분 36초,해리슨 포드,아사 버터필드,헤일리 스테인펠드,176,609,40746,12,125787
645191,리오,카를로스 살다나,이십세기폭스코리아(주),2011-07-27,미국,애니메이션,전체관람가,상업영화,일반영화,96분 0초,송중기,박보영,NA,12,293,10518,7,28871
641099,머니볼,베넷 밀러,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-17,미국,드라마,12세이상관람가,상업영화,일반영화,132분 0초,조나 힐,브래드 피트,NA,27,35,6890,11,35378
636631,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,미국,액션,12세이상관람가,상업영화,일반영화,127분 0초,샤를리즈 테론,크리스틴 스튜어트,크리스 헴스워스,285,1815,118328,5,30024
629322,컨택트,드니 빌뇌브,유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,미국,SF,12세이상관람가,상업영화,일반영화,116분 22초,에이미 아담스,제레미 레너,포레스트 휘테커,18,28,4830,2,54584
627102,설리: 허드슨강의 기적,클린트 이스트우드,워너브러더스 코리아(주),2016-09-28,미국,드라마,12세이상관람가,상업영화,일반영화,95분 41초,톰 행크스,아론 에크하트,로라 린니,343,1705,45109,9,33583
622286,아더 크리스마스,베리 쿡,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,미국,애니메이션,전체관람가,상업영화,일반영화,97분 0초,빌 나이히,휴 로리,짐 브로드벤트,20,41,7160,11,12039
616943,인 타임,앤드류 니콜,이십세기폭스코리아(주),2011-10-27,미국,SF,12세이상관람가,상업영화,일반영화,109분 0초,아만다 사이프리드,킬리언 머피,저스틴 팀버레이크,2,2,250,10,36097
612328,잭 리처: 네버 고 백,에드워드 즈윅,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,미국,액션,15세이상관람가,상업영화,일반영화,118분 0초,톰 크루즈,코비 스멀더스,로버트 네퍼,19,35,4725,11,111255
606531,헝거게임: 판엠의 불꽃,게리 로스,롯데쇼핑㈜롯데엔터테인먼트,2012-04-05,미국,액션,15세이상관람가,상업영화,일반영화,142분 0초,제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,14,22,4577,4,39051
599963,다이노소어 어드벤처 3D,"베리 쿡,닐 나이팅게일",이십세기폭스코리아(주),2013-12-19,미국,액션,전체관람가,상업영화,일반영화,87분 25초,배한성,이광수,NA,2,5,825,12,11259
598373,콜롬비아나,올리비에 메가턴,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,미국,액션,15세이상관람가,상업영화,일반영화,105분 0초,칼럼 블루,조 샐다나,NA,188,635,41715,8,28186
591841,맨 온 렛지,애스게르 레스,롯데쇼핑㈜롯데엔터테인먼트,2012-02-22,미국,범죄,15세이상관람가,상업영화,일반영화,102분 0초,샘 워싱턴,엘리자베스 뱅크스,NA,26,49,8889,2,28012
585082,더 울프 오브 월스트리트,마틴 스콜세지,주식회사 우리네트웍스,2014-01-09,미국,범죄,청소년관람불가,상업영화,일반영화,179분 18초,레오나르도 디카프리오,매튜 매커너히,조나 힐,6,7,1464,1,38282
582126,다크 섀도우,팀 버튼,워너브러더스 코리아(주),2012-05-10,미국,드라마,15세이상관람가,상업영화,일반영화,112분 0초,조니 뎁,미쉘 파이퍼,에바 그린,6,7,2097,5,57275
576150,백설공주,타셈 싱,롯데쇼핑㈜롯데엔터테인먼트,2012-05-03,미국,판타지,전체관람가,상업영화,일반영화,108분 0초,줄리아 로버츠,릴리 콜린스,아미 해머,19,198,10807,5,26499
573657,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,미국,액션,15세이상관람가,상업영화,일반영화,120분 10초,휴 잭맨,샬토 코플리,시고니 위버,2,3,1003,3,45334
571074,섀도우 헌터스: 뼈의 도시,해럴드 즈워트,롯데쇼핑㈜롯데엔터테인먼트,2013-09-12,미국,판타지,15세이상관람가,상업영화,일반영화,129분 49초,릴리 콜린스,제이미 캠벨 바우어,케빈 지거스,2,3,978,9,34177
570010,루퍼,라이언 존슨,(주)에스비에스콘텐츠허브,2012-10-11,미국,SF,청소년관람불가,상업영화,일반영화,119분 0초,조셉 고든 레빗,브루스 윌리스,에밀리 블런트,45,64,13855,10,33094
569500,화이트 하우스 다운,롤랜드 에머리히,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-06-27,미국,액션,15세이상관람가,상업영화,일반영화,131분 33초,채닝 테이텀,제이미 폭스,매기 질렌할,5,7,2422,6,60803
560620,스텝 업: 올 인,트리시 시에,(주)나이너스엔터테인먼트,2014-09-03,미국,드라마,12세이상관람가,상업영화,일반영화,111분 44초,라이언 구즈만,브리아나 에비건,애덤 G. 세바니,10,32,5654,9,32719
558433,레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-13,미국,액션,청소년관람불가,상업영화,일반영화,95분 0초,밀라 요보비치,미셸 로드리게즈,리빙빙,1,2,411,9,57821
554535,인시디어스4: 라스트 키,애덤 로비텔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31,미국,공포(호러),15세이상관람가,상업영화,일반영화,103분 2초,스펜서 로크,린 샤예,조시 스튜어트,1,2,378,1,102994
553760,아이스 에이지: 지구 대충돌,마이크 트메이어,이십세기폭스코리아(주),2016-07-20,미국,애니메이션,전체관람가,상업영화,일반영화,94분 27초,존 레귀자모,레이 로마노,제니퍼 로페즈,12,23,3824,7,14207
551897,메카닉: 리크루트,데니스 간젤,(주)제이앤씨미디어그룹,2016-08-31,미국,액션,15세이상관람가,상업영화,일반영화,97분 43초,제이슨 스타뎀,제시카 알바,토미 리 존스,3,10,1681,8,95756
540410,툼레이더,로아 우타우,워너브러더스 코리아(주),2018-03-08,미국,액션,12세이상관람가,상업영화,일반영화,117분 39초,알리시아 비칸데르,크리스틴 스콧 토마스,월튼 고긴스,5,6,951,3,59418
533790,페르디난드,카를로스 살다나,이십세기폭스코리아(주),2018-01-03,미국,애니메이션,전체관람가,상업영화,일반영화,107분 58초,존 시나,케이트 맥키넌,데이빗 테넌트,6,9,1658,1,55644
527077,러브 & 드럭스,에드워드 즈윅,이십세기폭스코리아(주),2011-01-13,미국,멜로/로맨스,청소년관람불가,상업영화,일반영화,112분 0초,앤 해서웨이,NA,NA,6,15,245,1,34207
519584,퍼시 잭슨과 괴물의 바다,쏘어 프류덴탈,이십세기폭스코리아(주),2013-09-12,미국,판타지,12세이상관람가,상업영화,일반영화,106분 0초,로건 레먼,알렉산드리아 다다리오,브랜든 T. 잭슨,8,9,2280,9,12304
518886,얼라이드,로버트 저메키스,롯데쇼핑㈜롯데엔터테인먼트,2017-01-11,미국,스릴러,15세이상관람가,상업영화,일반영화,123분 23초,브래드 피트,마리옹 꼬띠아르,리지 캐플란,7,17,3948,1,43776
